data,label,CCT_xc_distance,CCT_xc_count1,CCT_xc_count7,CCT_x4_distance,CCT_x4_count1,CCT_x4_count7,r50_xc_distance,r50_xc_count1,r50_xc_count7,r50_xc_xs5,r50_xc_xs3,r50_xc_all3,r50_xc_all5,r50_x4_distance,r50_x4_count1,r50_x4_count7
covid_hosp/train/0/003d8fa0-6bf1-40ed-b54c-ac657f8495c5.png_000,1,0.0005326968621766071,1,6,0.21257171049818924,1,7,9.954218935792625e-07,1,7,5,3,3,5,0.04176297017315744,1,7
covid_hosp/train/0/003d8fa0-6bf1-40ed-b54c-ac657f8495c5.png_001,0,1.9980450850181972,0,1,0.713703387994651,0,0,1.9935987153903114,0,0,0,0,0,0,0.20988973031880775,0,0
covid_hosp/train/0/009eb222-eabc-4150-8121-d5a6d06b8ebf.png_000,1,0.00017135323654582368,1,7,0.18373401654190313,1,7,1.5044726225821314e-05,1,7,5,3,3,5,0.0478000945836643,1,7
covid_hosp/train/0/009eb222-eabc-4150-8121-d5a6d06b8ebf.png_001,0,1.9988284839901898,0,0,0.8530045585103305,0,0,1.9931301935211307,0,0,0,0,0,0,0.2551808047327724,0,0
covid_hosp/train/0/01027bc3-dc40-4165-a6c3-d6be2cb7ca34.png_000,1,0.00012234598686311493,1,7,0.1955829286059776,1,7,1.37378890856521e-05,1,6,5,3,3,5,0.050434691899783446,1,7
covid_hosp/train/0/01027bc3-dc40-4165-a6c3-d6be2cb7ca34.png_001,0,1.9998984104292323,0,0,0.817216976542902,0,0,1.9931586748800165,0,1,0,0,0,0,0.20278007070453785,0,0
covid_hosp/train/0/017c7b5b-618e-4bc9-943c-04c6a988d992.png_000,1,1.9867473987507749,0,1,0.4729391421554735,1,6,0.00018116265241452378,1,7,5,3,3,5,0.04794014488300069,1,7
covid_hosp/train/0/017c7b5b-618e-4bc9-943c-04c6a988d992.png_001,0,0.008843079233700646,1,6,0.6027638418679544,0,1,1.9914535588554294,0,0,0,0,0,0,0.2329605752426397,0,0
covid_hosp/train/0/019ca122-9cdf-4704-b7a9-449c8a1c263e.png_000,1,0.0010350107289119892,1,7,0.37311573253315533,1,7,0.00134468366777718,1,6,4,2,3,5,0.10903669698387763,1,7
covid_hosp/train/0/019ca122-9cdf-4704-b7a9-449c8a1c263e.png_001,0,1.9998782536940505,0,0,0.6402187057969679,0,0,1.9866371059617642,0,1,1,1,0,0,0.1697242023512312,0,0
covid_hosp/train/0/01a4059c-22f7-4f51-8a27-50aff0b3aeb3.png_000,1,7.423349062385398e-05,1,7,0.1616748875719537,1,7,0.00013925939210124305,1,7,5,3,3,5,0.061084482706587395,1,7
covid_hosp/train/0/01a4059c-22f7-4f51-8a27-50aff0b3aeb3.png_001,0,1.9998431426022412,0,0,0.929755176202202,0,0,1.9917568968506267,0,0,0,0,0,0,0.25040211537486523,0,0
covid_hosp/train/0/01aad2a6-3b93-45e3-bf37-2d73348cb6fc.png_000,1,0.0017076329986068783,1,7,0.242733673658312,1,7,0.0001448436104347639,1,7,5,3,3,5,0.11329210531990441,1,7
covid_hosp/train/0/01aad2a6-3b93-45e3-bf37-2d73348cb6fc.png_001,0,1.999592431010662,0,0,1.0292096468544578,0,0,1.9917143878476846,0,0,0,0,0,0,0.2050521592715563,0,0
covid_hosp/train/0/01b15f07-1149-4ff8-9756-bc821e41b97c.png_000,1,0.0004223335454807131,1,7,0.1457797689848368,1,7,0.00018247591647235772,1,7,5,3,3,5,0.046038471765733946,1,7
covid_hosp/train/0/01b15f07-1149-4ff8-9756-bc821e41b97c.png_001,0,1.9982622928145934,0,0,0.8375191427913444,0,0,1.9957069948697723,0,0,0,0,0,0,0.21078353089677004,0,0
covid_hosp/train/0/01be3fe5-4a91-4c57-9af6-305966a7d0aa.png_000,1,1.3938725031970023e-06,1,7,0.1276969003433549,1,7,5.739418057459922e-05,1,6,5,3,3,5,0.059485609010481055,1,7
covid_hosp/train/0/01be3fe5-4a91-4c57-9af6-305966a7d0aa.png_001,0,1.9996016347763368,0,0,0.8674663742907255,0,0,1.9948953686614348,0,1,0,0,0,0,0.21726074366941373,0,0
covid_hosp/train/0/01c0b605-0a82-401b-9649-81252304ac45.png_000,1,0.0007200023258085997,1,7,0.271445223028578,1,7,0.00010052156199680251,1,7,5,3,3,5,0.07249014640779827,1,7
covid_hosp/train/0/01c0b605-0a82-401b-9649-81252304ac45.png_001,0,1.9999675774687176,0,0,0.9732541734608908,0,0,1.995239065083625,0,0,0,0,0,0,0.17440885267743578,0,0
covid_hosp/train/0/01cc7c75-4498-43ab-b650-5553d0507f76.png_000,1,0.0004240067873205744,1,7,0.2097968898575302,1,7,0.0002551264120203012,1,4,5,3,3,5,0.070209778080635,1,7
covid_hosp/train/0/01cc7c75-4498-43ab-b650-5553d0507f76.png_001,0,1.99999969945203,0,0,1.0170721342106737,0,0,1.9909836263831542,0,3,0,0,0,0,0.2761747566728153,0,0
covid_hosp/train/0/01e4fd43-4f2c-421f-bd68-c756dceb5742.png_000,1,0.001233195879813187,1,7,0.25216807802451435,1,7,0.00011876391898146821,1,6,5,3,3,5,0.04500510268736646,1,7
covid_hosp/train/0/01e4fd43-4f2c-421f-bd68-c756dceb5742.png_001,0,1.996836383548914,0,0,0.8279410398923942,0,0,1.9953584818727987,0,1,0,0,0,0,0.21022668968350566,0,0
covid_hosp/train/0/01ef1712-90a6-4946-ad86-fc76b0cf2d3b.png_000,1,9.848770487841385e-05,1,7,0.23213037803466952,1,7,0.041363335015667246,0,0,2,1,1,1,0.10430622542714563,0,5
covid_hosp/train/0/01ef1712-90a6-4946-ad86-fc76b0cf2d3b.png_001,0,1.9998741995699303,0,0,0.8081956823643299,0,0,1.9208969222655,1,7,3,2,2,4,0.12214207128420052,1,2
covid_hosp/train/0/01f0d9cc-f69e-471a-987a-be73a36e18cc.png_000,1,0.00027053769017038043,1,7,0.20827405079054184,1,7,2.8984340392224084e-06,1,6,4,3,3,5,0.07272318626325947,1,7
covid_hosp/train/0/01f0d9cc-f69e-471a-987a-be73a36e18cc.png_001,0,1.999977985456185,0,0,0.8946583283309775,0,0,1.9934856278625293,0,1,1,0,0,0,0.1416193522139756,0,0
covid_hosp/train/0/01f0f4bf-e678-430e-b43d-2968e2c4976c.png_000,1,1.2255294189356114e-05,1,6,0.4264091120324478,1,5,0.0007027041942957446,0,5,5,3,3,5,0.11894288292191246,1,6
covid_hosp/train/0/01f0f4bf-e678-430e-b43d-2968e2c4976c.png_001,0,1.9996888601010396,0,1,0.7589829147091147,0,2,1.9888770958240611,1,2,0,0,0,0,0.23213662724020956,0,1
covid_hosp/train/0/01f4cd36-caa1-480f-9d8c-92e80cf7b197.png_000,1,0.002600791188098195,1,7,0.19955065370415437,1,7,0.0003266081691134515,1,6,5,3,3,5,0.07572009291342785,1,7
covid_hosp/train/0/01f4cd36-caa1-480f-9d8c-92e80cf7b197.png_001,0,1.9947989805833295,0,0,0.864823062319786,0,0,1.9962837113322194,0,1,0,0,0,0,0.23120852201214004,0,0
covid_hosp/train/0/01fe92f7-ff87-4f9e-9077-e00e670d1b47.png_000,1,2.0958957220873486e-06,1,6,0.3800202235431004,1,7,0.0011528675086160955,0,6,4,2,3,5,0.11260269816206203,1,7
covid_hosp/train/0/01fe92f7-ff87-4f9e-9077-e00e670d1b47.png_001,0,1.999489821285945,0,1,0.8172542022340292,0,0,1.997967049394782,1,1,1,1,0,0,0.2147197256324196,0,0
covid_hosp/train/0/020fb648-3b1e-404a-a0b4-f25d6b277c1a.png_000,1,0.004039317458398917,0,6,0.19582213372075086,1,7,0.0004311778972518887,1,6,4,2,3,4,0.050986165364323544,1,7
covid_hosp/train/0/020fb648-3b1e-404a-a0b4-f25d6b277c1a.png_001,0,1.9928315407894277,1,1,0.8744411087538327,0,0,1.9900527760320985,0,1,1,1,0,1,0.15765400444582656,0,0
covid_hosp/train/0/022b7bbd-963b-49ea-afd7-b6b7986da555.png_000,1,0.00030439047593155966,1,7,0.22221132225946816,1,7,0.00042584390526467786,1,4,5,3,3,5,0.08126729440212,1,7
covid_hosp/train/0/022b7bbd-963b-49ea-afd7-b6b7986da555.png_001,0,1.9985113660144789,0,0,0.8667138685246316,0,0,1.9900783978398382,0,3,0,0,0,0,0.23598023710907556,0,0
covid_hosp/train/0/0280a39c-4891-4a7b-8073-710c3f5577a3.png_000,1,0.0008556915287878386,1,7,0.2781394030815576,1,7,0.0006574110962360713,1,6,5,3,3,5,0.06592537005863808,1,7
