data,label,CCT_xc_class_000_distance,CCT_xc_class_001_distance,CCT_xc_class_000_count1,CCT_xc_class_001_count1,CCT_xc_class_000_count7,CCT_xc_class_001_count7,CCT_x4_class_000_distance,CCT_x4_class_001_distance,CCT_x4_class_000_count1,CCT_x4_class_001_count1,CCT_x4_class_000_count7,CCT_x4_class_001_count7,r50_xc_class_000_distance,r50_xc_class_001_distance,r50_xc_class_000_count1,r50_xc_class_001_count1,r50_xc_class_000_count7,r50_xc_class_001_count7,r50_xc_class_000_xs5,r50_xc_class_001_xs5,r50_xc_class_000_xs3,r50_xc_class_001_xs3,r50_xc_class_000_all3,r50_xc_class_001_all3,r50_xc_class_000_all5,r50_xc_class_001_all5,r50_x4_class_000_distance,r50_x4_class_001_distance,r50_x4_class_000_count1,r50_x4_class_001_count1,r50_x4_class_000_count7,r50_x4_class_001_count7
covid_hosp/train/0/003d8fa0-6bf1-40ed-b54c-ac657f8495c5.png,0,0.0005326968621766071,1.9980450850181972,1,0,6,1,0.21257171049818924,0.713703387994651,1,0,7,0,9.954218935792625e-07,1.9935987153903114,1,0,7,0,5,0,3,0,3,0,5,0,0.04176297017315744,0.20988973031880775,1,0,7,0
covid_hosp/train/0/009eb222-eabc-4150-8121-d5a6d06b8ebf.png,0,0.00017135323654582368,1.9988284839901898,1,0,7,0,0.18373401654190313,0.8530045585103305,1,0,7,0,1.5044726225821314e-05,1.9931301935211307,1,0,7,0,5,0,3,0,3,0,5,0,0.0478000945836643,0.2551808047327724,1,0,7,0
covid_hosp/train/0/01027bc3-dc40-4165-a6c3-d6be2cb7ca34.png,0,0.00012234598686311493,1.9998984104292323,1,0,7,0,0.1955829286059776,0.817216976542902,1,0,7,0,1.37378890856521e-05,1.9931586748800165,1,0,6,1,5,0,3,0,3,0,5,0,0.050434691899783446,0.20278007070453785,1,0,7,0
covid_hosp/train/0/017c7b5b-618e-4bc9-943c-04c6a988d992.png,0,1.9867473987507749,0.008843079233700646,0,1,1,6,0.4729391421554735,0.6027638418679544,1,0,6,1,0.00018116265241452378,1.9914535588554294,1,0,7,0,5,0,3,0,3,0,5,0,0.04794014488300069,0.2329605752426397,1,0,7,0
covid_hosp/train/0/019ca122-9cdf-4704-b7a9-449c8a1c263e.png,0,0.0010350107289119892,1.9998782536940505,1,0,7,0,0.37311573253315533,0.6402187057969679,1,0,7,0,0.00134468366777718,1.9866371059617642,1,0,6,1,4,1,2,1,3,0,5,0,0.10903669698387763,0.1697242023512312,1,0,7,0
covid_hosp/train/0/01a4059c-22f7-4f51-8a27-50aff0b3aeb3.png,0,7.423349062385398e-05,1.9998431426022412,1,0,7,0,0.1616748875719537,0.929755176202202,1,0,7,0,0.00013925939210124305,1.9917568968506267,1,0,7,0,5,0,3,0,3,0,5,0,0.061084482706587395,0.25040211537486523,1,0,7,0
covid_hosp/train/0/01aad2a6-3b93-45e3-bf37-2d73348cb6fc.png,0,0.0017076329986068783,1.999592431010662,1,0,7,0,0.242733673658312,1.0292096468544578,1,0,7,0,0.0001448436104347639,1.9917143878476846,1,0,7,0,5,0,3,0,3,0,5,0,0.11329210531990441,0.2050521592715563,1,0,7,0
covid_hosp/train/0/01b15f07-1149-4ff8-9756-bc821e41b97c.png,0,0.0004223335454807131,1.9982622928145934,1,0,7,0,0.1457797689848368,0.8375191427913444,1,0,7,0,0.00018247591647235772,1.9957069948697723,1,0,7,0,5,0,3,0,3,0,5,0,0.046038471765733946,0.21078353089677004,1,0,7,0
covid_hosp/train/0/01be3fe5-4a91-4c57-9af6-305966a7d0aa.png,0,1.3938725031970023e-06,1.9996016347763368,1,0,7,0,0.1276969003433549,0.8674663742907255,1,0,7,0,5.739418057459922e-05,1.9948953686614348,1,0,6,1,5,0,3,0,3,0,5,0,0.059485609010481055,0.21726074366941373,1,0,7,0
covid_hosp/train/0/01c0b605-0a82-401b-9649-81252304ac45.png,0,0.0007200023258085997,1.9999675774687176,1,0,7,0,0.271445223028578,0.9732541734608908,1,0,7,0,0.00010052156199680251,1.995239065083625,1,0,7,0,5,0,3,0,3,0,5,0,0.07249014640779827,0.17440885267743578,1,0,7,0
covid_hosp/train/0/01cc7c75-4498-43ab-b650-5553d0507f76.png,0,0.0004240067873205744,1.99999969945203,1,0,7,0,0.2097968898575302,1.0170721342106737,1,0,7,0,0.0002551264120203012,1.9909836263831542,1,0,4,3,5,0,3,0,3,0,5,0,0.070209778080635,0.2761747566728153,1,0,7,0
covid_hosp/train/0/01e4fd43-4f2c-421f-bd68-c756dceb5742.png,0,0.001233195879813187,1.996836383548914,1,0,7,0,0.25216807802451435,0.8279410398923942,1,0,7,0,0.00011876391898146821,1.9953584818727987,1,0,6,1,5,0,3,0,3,0,5,0,0.04500510268736646,0.21022668968350566,1,0,7,0
covid_hosp/train/0/01ef1712-90a6-4946-ad86-fc76b0cf2d3b.png,0,9.848770487841385e-05,1.9998741995699303,1,0,7,0,0.23213037803466952,0.8081956823643299,1,0,7,0,0.041363335015667246,1.9208969222655,0,1,0,7,2,3,1,2,1,2,1,4,0.10430622542714563,0.12214207128420052,0,1,5,2
covid_hosp/train/0/01f0d9cc-f69e-471a-987a-be73a36e18cc.png,0,0.00027053769017038043,1.999977985456185,1,0,7,0,0.20827405079054184,0.8946583283309775,1,0,7,0,2.8984340392224084e-06,1.9934856278625293,1,0,6,1,4,1,3,0,3,0,5,0,0.07272318626325947,0.1416193522139756,1,0,7,0
covid_hosp/train/0/01f0f4bf-e678-430e-b43d-2968e2c4976c.png,0,1.2255294189356114e-05,1.9996888601010396,1,0,6,1,0.4264091120324478,0.7589829147091147,1,0,5,2,0.0007027041942957446,1.9888770958240611,0,1,5,2,5,0,3,0,3,0,5,0,0.11894288292191246,0.23213662724020956,1,0,6,1
covid_hosp/train/0/01f4cd36-caa1-480f-9d8c-92e80cf7b197.png,0,0.002600791188098195,1.9947989805833295,1,0,7,0,0.19955065370415437,0.864823062319786,1,0,7,0,0.0003266081691134515,1.9962837113322194,1,0,6,1,5,0,3,0,3,0,5,0,0.07572009291342785,0.23120852201214004,1,0,7,0
covid_hosp/train/0/01fe92f7-ff87-4f9e-9077-e00e670d1b47.png,0,2.0958957220873486e-06,1.999489821285945,1,0,6,1,0.3800202235431004,0.8172542022340292,1,0,7,0,0.0011528675086160955,1.997967049394782,0,1,6,1,4,1,2,1,3,0,5,0,0.11260269816206203,0.2147197256324196,1,0,7,0
covid_hosp/train/0/020fb648-3b1e-404a-a0b4-f25d6b277c1a.png,0,0.004039317458398917,1.9928315407894277,0,1,6,1,0.19582213372075086,0.8744411087538327,1,0,7,0,0.0004311778972518887,1.9900527760320985,1,0,6,1,4,1,2,1,3,0,4,1,0.050986165364323544,0.15765400444582656,1,0,7,0
covid_hosp/train/0/022b7bbd-963b-49ea-afd7-b6b7986da555.png,0,0.00030439047593155966,1.9985113660144789,1,0,7,0,0.22221132225946816,0.8667138685246316,1,0,7,0,0.00042584390526467786,1.9900783978398382,1,0,4,3,5,0,3,0,3,0,5,0,0.08126729440212,0.23598023710907556,1,0,7,0
covid_hosp/train/0/0280a39c-4891-4a7b-8073-710c3f5577a3.png,0,0.0008556915287878386,1.997461452287904,1,0,7,0,0.2781394030815576,0.7276762579538884,1,0,7,0,0.0006574110962360713,1.997148554251029,1,0,6,1,5,0,3,0,3,0,5,0,0.06592537005863808,0.19164560898072514,1,0,7,0
covid_hosp/train/0/0295573e-1bbe-4f14-83c2-32449fa79f10.png,0,0.00027886142756594623,1.9985684830400507,1,0,7,0,0.2561776786966349,1.0154715788489335,1,0,7,0,1.2001971371966569e-05,1.9942917916304754,1,0,6,1,5,0,3,0,3,0,5,0,0.08775680481082782,0.22524000248581655,1,0,7,0
covid_hosp/train/0/02f6ab3b-7793-4d67-87e3-868911a399b7.png,0,0.00017835301052138153,1.998810299147137,1,0,6,1,0.41390305873582633,0.9699126529999217,1,0,7,0,0.00034076755225598276,1.990506182296238,1,0,7,0,4,1,2,1,3,0,4,1,0.051042201399558174,0.15885945740315877,1,0,6,1
covid_hosp/train/0/03682e3c-d601-4e35-9ba5-06e85bba5c7c.png,0,0.0023478242124940207,1.9951591642875317,1,0,7,0,0.2768414853679233,0.8290375972369985,1,0,7,0,0.002074635927710733,1.984512711411905,1,0,5,2,4,1,3,0,3,0,5,0,0.10082046507663045,0.26388667209132965,1,0,7,0
covid_hosp/train/0/03b10fa5-e7c3-4726-818f-ecbace9da737.png,0,0.1726388160621276,1.8102016938505183,0,1,2,5,0.4311199577620952,0.5909030179124176,1,0,6,1,1.4367759663791446e-05,1.9943408906421527,0,1,5,2,5,0,3,0,3,0,5,0,0.04921888403491037,0.21310796405099608,1,0,7,0
covid_hosp/train/0/03da08b4-9f24-4822-8b2b-4abf27e3c9a8.png,0,0.002810670687979022,1.9945040663847609,1,0,7,0,0.37469791447576783,0.698430328353909,1,0,5,2,5.1579267961621156e-05,1.9925727434743323,1,0,6,1,1,4,1,2,1,2,1,4,0.1060018035070559,0.17199086323848312,1,0,7,0
covid_hosp/train/0/03f43302-39f0-48a1-ae3d-0c6c611b9302.png,0,1.6395190060412745,0.38374743872161743,0,1,3,4,0.3417524653301117,0.5476439634850241,0,1,5,2,4.018360790636333e-05,1.9927170404806491,1,0,7,0,5,0,3,0,3,0,5,0,0.055420072504726914,0.19527750854742087,1,0,7,0
covid_hosp/train/0/042bde1a-88c1-4ae5-af0c-1a409e1e09ee.png,0,0.003321698048696531,1.9937984751599167,1,0,7,0,0.23528713056859663,0.7965070753244237,1,0,7,0,0.0001993704014068287,1.991331316730493,1,0,7,0,5,0,3,0,3,0,5,0,0.05960198343778167,0.23044792479386322,1,0,7,0
covid_hosp/train/0/04707463-aae0-4989-ae73-f9162275444e.png,0,0.000848706723980408,1.999936092535154,1,0,7,0,0.13839209531393215,0.9049868423988244,1,0,7,0,9.736890956690836e-05,1.9952171961078173,1,0,6,1,5,0,3,0,3,0,5,0,0.058734419779229,0.2386936125944943,1,0,7,0
covid_hosp/train/0/05073cbd-ad54-456d-9de6-b468db719b57.png,0,0.0004531722506170288,1.9999999780155664,1,0,7,0,0.18242858738181056,0.916107078211506,1,0,7,0,0.00015967157875262927,1.9916048357030829,0,1,6,1,4,1,2,1,3,0,5,0,0.050994725189649315,0.16184297990682195,1,0,7,0
